HAGRID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Common name,Humano médio (79) vive quantos % disso?,Maximum longevity (yrs),Female maturity (days),Male maturity (days),Gestation/Incubation (days),Weaning (days),Litter/Clutch size,Litters/Clutches per year,Inter-litter/Interbirth interval,Birth weight (g),Weaning weight (g),Adult weight (g),Growth rate (1/days),Source,Specimen origin,Sample size,Data quality,IMR (per yr),MRDT (yrs),Metabolic rate (W),Body mass (g),Temperature (K),References
3703,Animalia,Chordata,Teleostei,Ophidiiformes,Ophidiidae,Genypterus,blacodes,Australian rockling,243.33%,30,,,,,,,,,,13750,,454,wild,medium,acceptable,,,,,,454
1347,Animalia,Chordata,Aves,Strigiformes,Strigidae,Bubo,virginianus,Great horned owl,251.72%,29,730,730,27,,3,1,,34.7,,1191.2,0.138,427,wild,medium,acceptable,,,5.2442,1450,,"427,435,437,444,445,732,820,1148"
3343,Animalia,Chordata,Reptilia,Testudines,Emydidae,Terrapene,ornata,Ornate box turtle,257.04%,28.4,2920,2920,63,,5,,,,,,,451,captivity,medium,acceptable,,,,,,"451,468"
1222,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Callocephalon,fimbriatum,Gang-gang cockatoo,265.45%,27.5,,,,,,,,,,256,,669,captivity,medium,acceptable,,,,,,"669,820,979"
119,Animalia,Chordata,Amphibia,Caudata,Amphiumidae,Amphiuma,means,Two-toed amphiuma,270.37%,27,1460,1095,150,,200,,,,,200.967,,485,captivity,small,acceptable,,,0.00904,199,288,"37,485,749"
2469,Animalia,Chordata,Mammalia,Primates,Pitheciidae,Plecturocebus,moloch,Dusky titi,278.63%,26.2,912,,163,244,1,1,365,86,,804,,671,captivity,tiny,acceptable,,,,,,"434,455,467,671,1142"
3995,Animalia,Chordata,Teleostei,Perciformes,Serranidae,Cephalopholis,miniata,Bluespot rockcod,292.00%,25,,,,,,,,,,,,454,wild,medium,acceptable,,,,,,454
1314,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Psitteuteles,iris,Iris lorikeet,302.90%,24.1,,,,,,,,,,,,669,captivity,small,acceptable,,,,,,"669,979"
191,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,gentilis,Northern goshawk,331.82%,22,365,730,33,,3,1,,,,1044.2,0.225,450,wild,medium,acceptable,,,,,,"437,444,445,450,729,732,1143"
3332,Animalia,Chordata,Reptilia,Testudines,Emydidae,Graptemys,nigrinoda,Black-knobbed map turtle,359.61%,20.3,,,,,,,,,,,,451,captivity,small,acceptable,,,,,,451
1205,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Brotogeris,chiriri,Yellow-chevroned parakeet,384.21%,19,,,26,,5,,,,,61.6,,669,captivity,small,acceptable,,,,,,"445,669"
206,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,lagopus,Rough-legged hawk,388.30%,18.8,730,730,29,,5,1,,41.62,,980.64,,450,wild,small,acceptable,,,,,,"437,444,445,450"
208,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,platypterus,Broad-winged hawk,398.91%,18.3,365,365,25,,2.5,1,,28,,454,0.271,577,wild,small,acceptable,,,,,,"444,445,577,732"
869,Animalia,Chordata,Aves,Passeriformes,Oriolidae,Sphecotheres,viridis,Green figbird (hang-nest),405.56%,18,,,,,,,,,,121.5,,575,captivity,medium,acceptable,,,,,,"575,820"
3362,Animalia,Chordata,Reptilia,Testudines,Geoemydidae,Mauremys,nigricans,Red-necked pond turtle,405.56%,18,,,,,,,,,,,,451,captivity,small,acceptable,,,,,,451
1071,Animalia,Chordata,Aves,Pelecaniformes,Threskiornithidae,Platalea,alba,African spoonbill,407.82%,17.9,,,,,,,,,,1521,,649,captivity,small,acceptable,,,,,,"649,820"
2317,Animalia,Chordata,Mammalia,Primates,Callitrichidae,Callithrix,geoffroyi,Geoffroy's marmoset,414.77%,17.6,,,,,,,,,,342,,671,captivity,large,acceptable,,,,,,"6,717,301,142"
128,Animalia,Chordata,Amphibia,Caudata,Hynobiidae,Onychodactylus,fischeri,Long-tailed clawed salamander,429.41%,17,,,,,,,,,,,,525,wild,medium,acceptable,,,,,,525
3056,Animalia,Chordata,Reptilia,Squamata,Dactyloidae,Anolis,equestris,Knight anole,442.42%,16.5,,,,,,,,,,,,485,captivity,medium,acceptable,,,,,,485
2924,Animalia,Chordata,Reptilia,Squamata,Anguidae,Ophisaurus,ventralis,Eastern glass lizard,493.24%,14.8,,,,,,,,,,,,451,captivity,small,acceptable,,,,,,451
151,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Plethodon,elongatus,Del Norte salamander,548.87%,13.3,,,,,7,,,,,,,485,captivity,small,acceptable,,,,,,"485,749"
2819,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Tamias,townsendii,Townsend's chipmunk,784.95%,9.3,353,,28,50,4.5,1,,3.5,35,75,0.0333,671,captivity,small,acceptable,,,,,,"434,455,610,671,680,731"
79,Animalia,Chordata,Amphibia,Anura,Microhylidae,Microhyla,ornata,Ornate narrow-mouthed frog,1460.00%,5,547,182,,,,,,1125,,,,964,wild,small,acceptable,,,,,,964
5,Animalia,Arthropoda,Insecta,Diptera,Drosophilidae,Drosophila,melanogaster,Fruit fly,24333.33%,0.3,7,7,,,,,,,,,,,captivity,large,acceptable,0.05,0.04,,,,"2,20,32,47,53,68,69,240,241,242,243,274,602,981,1150"
4237,Animalia,Nematoda,Chromadorea,Rhabditida,Rhabditidae,Caenorhabditis,elegans,Roundworm,45625.00%,0.16,3,3,,,,,,,,,,,captivity,large,acceptable,2,0.04,,,,"2,16,46,52,53,66,67,69,273,274,275,276,277,278,279,280,281,337,592,714,745,981,982,1150,1242,1279"
2424,Animalia,Chordata,Mammalia,Primates,Hominidae,Homo,sapiens,Human,59.59%,122.5,4745,5110,280,639,1,0.3,639,3312.5,11750,62035,0.0005,29,captivity,huge,high,0.0002,8,82.78,70000,310.15,"2,13,14,29,30,31,36,58,59,65,75,76,110,111,121,125,134,189,217,253,254,255,256,325,331,405,434,436,455,465,467,607,715,731,742,798,841,899,975,976,981,1078,1103,1122,1123,1136,1150,1242,1274"
